"IDtree","plot","forest_type","sp","heigth","CII","thick","petiol","compound","pubes","LA","SLA","LDMC","dens","pheno","P","C","N","CN","NP","Legum"
"8-23",8,"MIX","Caela","1.5/2",1,0.123,9.63666666666667,0,"Yes",173.390733333333,419.2790991,251.261983166667,0.200800089333333,"semideciduous",2.714636484,466,41.544,11.21702292,15.3037065,"no"
"8-24",8,"MIX","Caind","1/1.5",1,0.207333333333333,4.09333333333333,0,"No",22.4724,113.767575333333,438.2785467,0.427051360666667,"evergreen",0.446399247,445,36.566,12.1697752,81.91322056,"no"
"8-25",8,"MIX","Cafro","2/2.5",1,0.161666666666667,31.72,0,"No",79.2938333333333,141.940710033333,424.5988672,0.437555597666667,"evergreen",1.137928416,495,33.315,14.85817199,29.27688555,"no"
"8-26",8,"MIX","Caela","2/2.5",2,0.149333333333333,11.1033333333333,0,"Yes",244.937233333333,480.654355266667,218.0630185,0.140267970333333,"semideciduous",2.939230796,472,50.767,9.297378218,17.27220607,"no"
"8-27",8,"MIX","Ocver","1/1.5",1,0.165666666666667,9.54,0,"No",14.5578,163.076993333333,431.838023433333,0.374519758333333,"evergreen",0.862551291,516,25.377,20.33337274,29.4208591,"no"
"8-28",8,"MIX","Casyl","2.5/3",1,0.135666666666667,2.51333333333333,0,"No",17.9744,180.960344133333,375.9838201,0.409115008666667,"evergreen",1.546222215,475,35.819,13.2611184,23.16549306,"no"
"8-3",8,"MIX","Ocver","1/1.5",1,0.146666666666667,6.18,0,"No",22.5340666666667,165.919775033333,435.002587866667,0.411780361666667,"evergreen",1.409497575,532,30.535,17.42262977,21.6637478,"no"
"8-30",8,"MIX","Lomin","2/2.5",1,0.166333333333333,15.81,1,"Yes",55.5954,220.354999633333,333.534908833333,0.272910237666667,"deciduous",1.160691095,443,25.651,17.27028186,22.09976463,"yes"
"8-31",8,"MIX","Ocver","3.5/4",1,0.189333333333333,7.68,0,"No",25.8035,175.409365,389.7968349,0.303203586333333,"evergreen",0.841306621,537,29.319,18.31576793,34.84936322,"no"
"8-33",8,"MIX","Ocver","1.5/2",1,0.138666666666667,5.83333333333333,0,"No",17.6670333333333,204.498207533333,411.4136957,0.352757194666667,"evergreen",0.643185536,526,26.316,19.9878401,40.9150992,"no"
"8-35",8,"MIX","Sasap","2/2.5",1.5,0.167,27.4766666666667,1,"No",297.062433333333,175.909093433333,290.9795428,0.343919373333333,"evergreen",2.026769061,514,32.175,15.97513598,15.87502031,"no"
"8-37",8,"MIX","Ocver","1/1.5",1.5,0.142333333333333,8.01666666666667,0,"No",24.7483333333333,190.850227833333,394.034385233333,0.368146341,"evergreen",1.139022659,528,25.761,20.49609875,22.61675814,"no"
"8-38",8,"MIX","Cafro","1.5/2",1,0.169666666666667,44.55,0,"No",119.865166666667,132.697181566667,424.100542133333,0.445117491333333,"evergreen",0.669314809,481,32.177,14.94856575,48.0745377,"no"
"8-39",8,"MIX","Casyl","1/1.5",1,0.147,3.47,0,"No",14.0381333333333,205.605838466667,320.811080933333,0.333110157333333,"evergreen",1.251275733,485,35.429,13.68935053,28.3143028,"no"
